2024-03-31 11:48:11.4744 INFO Initializing
2024-03-31 11:48:11.6686 INFO Initialization Complete
2024-03-31 11:48:16.3797 INFO Move Enterprise Sprite From: (0, 1)
2024-03-31 11:48:16.3797 INFO Move Enterprise Sprite To: (3, 4)
2024-03-31 11:48:16.3797 DEBUG Slope = 3 / 3
2024-03-31 11:48:16.3797 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.4059 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.4229 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.4397 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.4567 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.4736 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.4905 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.5075 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.5244 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.5414 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.5583 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.5753 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.5922 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.6091 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.6261 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.6430 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.6600 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.6764 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.6925 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.7129 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.7293 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.7462 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.7631 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.7791 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.7961 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.8123 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.8294 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.8463 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.8624 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.8784 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.8946 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.9116 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.9278 INFO CurrentX: 0, CurrentY: 1
2024-03-31 11:48:16.9448 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:16.9609 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:16.9770 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:16.9941 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.0105 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.0275 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.0435 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.0802 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.0964 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.1133 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.1291 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.1452 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.1621 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.1790 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.1960 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.2126 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.2296 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.2456 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.2626 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.2798 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.2957 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.3126 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.3297 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.3466 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.3638 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.3797 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.3962 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.4133 INFO CurrentX: 1, CurrentY: 2
